activity_year,msa_md,state_code,county_code,census_tract,ffiec_msa_md_median_family_income,tract_population,tract_minority_population_percent,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_family_income,tract_to_msa_income_percentage,tract_median_age_of_housing_units,small_county
1990,0040,48,441,010100,00018036,00005150,005.65,00000659,00001164,00018135,100.55,024,T
1990,0040,48,441,010200,00018036,00003289,023.17,00000556,00001012,00013227,073.34,033,T
1990,0040,48,441,010300,00018036,00001738,017.43,00000310,00000496,00015625,086.63,022,T
1990,0040,48,441,010400,00018036,00002915,067.44,00000634,00000912,00014127,078.33,029,T
1990,0040,48,441,010500,00018036,00003844,021.90,00000907,00001133,00019539,108.33,016,T
1990,0040,48,441,010600,00018036,00004336,008.28,00001311,00001471,00024103,133.64,020,T
1990,0040,48,441,010700,00018036,00003922,034.45,00000979,00001351,00015862,087.95,027,T
1990,0040,48,441,010800,00018036,00002709,045.04,00000564,00001174,00011623,064.44,034,T
1990,0040,48,441,010900,00018036,00003942,033.00,00000836,00001212,00021044,116.68,008,T
1990,0040,48,441,011000,00018036,00001352,056.29,00000231,00000642,00012953,071.82,042,T
1990,0040,48,441,011100,00018036,00000610,044.10,00000081,00000191,00012366,068.56,045,T
1990,0040,48,441,011200,00018036,00003199,022.35,00000664,00001141,00014382,079.74,028,T
1990,0040,48,441,011300,00018036,00004035,020.55,00000997,00001245,00019379,107.45,021,T
1990,0040,48,441,011400,00018036,00005468,012.97,00001464,00002042,00018725,103.82,024,T
1990,0040,48,441,011500,00018036,00003168,011.74,00000957,00001282,00018197,100.89,031,T
1990,0040,48,441,011600,00018036,00002888,008.86,00000910,00001335,00017592,097.54,040,T
1990,0040,48,441,011700,00018036,00001705,021.47,00000376,00000739,00014191,078.68,041,T
1990,0040,48,441,011800,00018036,00001215,037.78,00000164,00000496,00009167,050.83,044,T
1990,0040,48,441,011900,00018036,00003010,033.52,00000623,00001248,00010875,060.30,038,T
1990,0040,48,441,012000,00018036,00001040,006.44,00000303,00000375,00028854,159.98,016,T
1990,0040,48,441,012100,00018036,00001352,028.55,00000000,00000010,00026250,145.54,035,T
1990,0040,48,441,012200,00018036,00002530,015.14,00000713,00001015,00014671,081.34,032,T
1990,0040,48,441,012300,00018036,00004763,009.49,00001045,00001603,00016082,089.17,026,T
1990,0040,48,441,012400,00018036,00002759,005.98,00000749,00000875,00021837,121.07,019,T
1990,0040,48,441,012500,00018036,00003646,002.50,00001065,00001281,00027260,151.14,017,T
1990,0040,48,441,012600,00018036,00003604,001.36,00001167,00001280,00032480,180.08,016,T
1990,0040,48,441,012700,00018036,00003458,003.56,00001022,00001164,00029702,164.68,003,T
1990,0040,48,441,012800,00018036,00002321,007.76,00000334,00000453,00019922,110.46,004,T
1990,0040,48,441,012900,00018036,00003723,029.87,00000000,00000993,00012829,071.13,023,T
1990,0040,48,441,013000,00018036,00001496,028.94,00000000,00000000,00000000,000.00,000,T
1990,0040,48,441,013100,00018036,00005656,037.43,00000963,00001637,00013812,076.58,010,T
1990,0040,48,441,013200,00018036,00001709,013.28,00000316,00000659,00014178,078.61,011,T
1990,0040,48,441,013300,00018036,00001876,017.16,00000564,00000769,00012973,071.93,021,T
1990,0040,48,441,013400,00018036,00004514,007.20,00001148,00001445,00022176,122.95,008,T
1990,0040,48,441,013500,00018036,00003343,004.52,00001091,00001549,00016361,090.71,026,T
1990,0040,48,441,013600,00018036,00004647,010.89,00001312,00001915,00016567,091.86,023,T
1990,0060,72,003,999999,00007522,00031567,000.00,00000000,00000000,00004731,062.89,000,U
1990,0060,72,005,400100,00007522,00003973,000.00,00000000,00000000,00017525,232.97,000,T
1990,0060,72,005,400200,00007522,00002021,000.00,00000000,00000000,00008182,108.77,000,T
1990,0060,72,005,400300,00007522,00000284,000.00,00000000,00000000,00010642,141.47,000,T
1990,0060,72,005,400400,00007522,00005123,000.00,00000000,00000000,00006941,092.27,000,T
1990,0060,72,005,400500,00007522,00005320,000.00,00000000,00000000,00005112,067.96,000,T
1990,0060,72,005,400600,00007522,00005133,000.00,00000000,00000000,00016839,223.85,000,T
1990,0060,72,005,400700,00007522,00003938,000.00,00000000,00000000,00012971,172.43,000,T
1990,0060,72,005,400800,00007522,00004400,000.00,00000000,00000000,00003648,048.50,000,T
1990,0060,72,005,400900,00007522,00002969,000.00,00000000,00000000,00009996,132.88,000,T
1990,0060,72,005,401000,00007522,00002712,000.00,00000000,00000000,00013033,173.26,000,T
1990,0060,72,005,401100,00007522,00002887,000.00,00000000,00000000,00007871,104.63,000,T
1990,0060,72,005,401200,00007522,00003001,000.00,00000000,00000000,00020038,266.38,000,T
1990,0060,72,005,401300,00007522,00007111,000.00,00000000,00000000,00016952,225.35,000,T
1990,0060,72,005,401400,00007522,00005734,000.00,00000000,00000000,00020847,277.13,000,T
1990,0060,72,071,999999,00007522,00037435,000.00,00000000,00000000,00004726,062.82,000,U
1990,0060,72,099,999999,00007522,00029185,000.00,00000000,00000000,00004442,059.05,000,S
1990,0080,39,133,600100,00021617,00007234,002.03,00001684,00002125,00021526,099.58,026,T
1990,0080,39,133,600200,00021617,00005418,001.37,00001506,00001839,00021715,100.46,024,T
1990,0080,39,133,600301,00021617,00003981,002.61,00001076,00001253,00023908,110.60,021,T
1990,0080,39,133,600302,00021617,00004196,001.07,00001302,00001405,00036944,170.91,011,T
1990,0080,39,133,600401,00021617,00007166,001.44,00001820,00002074,00022321,103.26,016,T
1990,0080,39,133,600402,00021617,00002090,001.77,00000570,00000672,00025040,115.84,021,T
1990,0080,39,133,600500,00021617,00005268,002.26,00001334,00001541,00021754,100.64,018,T
1990,0080,39,133,600600,00021617,00008127,002.50,00001660,00002120,00018533,085.74,026,T
