activity_year|msa_md|state_code|county_code|census_tract|ffiec_msa_md_median_family_income|tract_population|tract_minority_population_percent|tract_owner_occupied_units|tract_one_to_four_family_homes|tract_median_family_income|tract_to_msa_income_percentage|tract_median_age_of_housing_units|small_county
1995|0040|48|441|010100|00034300|00005095|007.75|00000729|00000206|00032451|110.69|031|T
1995|0040|48|441|010200|00034300|00002735|033.64|00000484|00000127|00018676|063.71|031|T
1995|0040|48|441|010300|00034300|00001833|035.19|00000310|00000008|00021051|071.81|030|T
1995|0040|48|441|010400|00034300|00002345|070.02|00000596|00000000|00018250|062.25|035|T
1995|0040|48|441|010500|00034300|00003475|029.70|00000834|00000267|00029440|100.42|025|T
1995|0040|48|441|010600|00034300|00003837|016.45|00001190|00000000|00038720|132.08|030|T
1995|0040|48|441|010700|00034300|00003633|049.38|00000814|00000006|00021845|074.52|036|T
1995|0040|48|441|010800|00034300|00002678|058.07|00000504|00000128|00017386|059.31|035|T
1995|0040|48|441|010900|00034300|00005057|024.12|00001011|00000820|00038004|129.64|013|T
1995|0040|48|441|011000|00034300|00000926|059.29|00000202|00000048|00013315|045.42|037|T
1995|0040|48|441|011100|00034300|00000393|040.46|00000036|00000148|00019286|065.79|046|T
1995|0040|48|441|011200|00034300|00002758|034.52|00000563|00000247|00021215|072.37|038|T
1995|0040|48|441|011300|00034300|00003989|030.73|00000943|00000312|00025923|088.43|031|T
1995|0040|48|441|011400|00034300|00004989|018.06|00001318|00000064|00028986|098.87|034|T
1995|0040|48|441|011500|00034300|00002896|015.68|00000881|00000000|00028832|098.35|040|T
1995|0040|48|441|011600|00034300|00002701|014.29|00000781|00000000|00027042|092.24|044|T
1995|0040|48|441|011700|00034300|00001421|031.39|00000293|00000039|00017070|058.23|050|T
1995|0040|48|441|011800|00034300|00000610|044.92|00000130|00000112|00015855|054.08|051|T
1995|0040|48|441|011900|00034300|00002271|037.78|00000493|00000004|00015556|053.06|047|T
1995|0040|48|441|012000|00034300|00001954|010.70|00000627|00000005|00059263|202.15|012|T
1995|0040|48|441|012100|00034300|00000812|024.26|00000000|00000000|00000000|000.00|000|T
1995|0040|48|441|012200|00034300|00002810|027.33|00000649|00000000|00021633|073.79|041|T
1995|0040|48|441|012300|00034300|00004302|014.88|00000909|00000263|00024052|082.04|036|T
1995|0040|48|441|012400|00034300|00002572|008.01|00000707|00000100|00033194|113.23|027|T
1995|0040|48|441|012500|00034300|00003504|005.91|00000978|00000168|00042044|143.42|028|T
1995|0040|48|441|012600|00034300|00003181|002.55|00001112|00000037|00059955|204.51|027|T
1995|0040|48|441|012700|00034300|00007492|006.61|00002079|00000101|00051838|176.82|009|T
1995|0040|48|441|012800|00034300|00005666|017.81|00000371|00002667|00024279|082.82|009|T
1995|0040|48|441|012900|00034300|00003803|031.05|00000000|00000000|00021667|073.91|035|T
